Año,Trimestre,Provincia,Accesos por cada 100 hogares
2016,2,capital federal,87.37
2016,2,catamarca,26.07
2016,2,chaco,28.59
2016,2,chubut,36.12
2016,2,córdoba,57.55
2016,2,corrientes,30.58
2016,2,entre ríos,44.74
2016,2,formosa,19.37
2016,2,jujuy,21.89
2016,2,la pampa,60.44
2016,2,la rioja,16.88
2016,2,mendoza,32.13
2016,2,misiones,29.24
2016,2,neuquén,59.1
2016,2,río negro,46.24
2016,2,salta,32.08
2016,2,san juan,27.34
2016,2,san luis,9.6
2016,2,santa cruz,26.73
2016,2,santa fe,52.44
2016,2,santiago del estero,15.89
2016,2,tierra del fuego,67.72
2016,2,tucumán,37.24
2016,1,buenos aires,57.34
2016,1,capital federal,82.49
2016,1,catamarca,25.91
2016,1,chaco,28.08
2016,1,chubut,36.09
2016,1,córdoba,55.28
2016,1,corrientes,30.08
2016,1,entre ríos,43.85
2016,1,formosa,19.04
2016,1,jujuy,21.41
2016,1,la pampa,57.84
2016,1,la rioja,16.83
2016,1,mendoza,32.12
2016,1,misiones,28.37
2016,1,neuquén,55.75
2016,1,río negro,45.84
2016,1,salta,31.32
2016,1,san juan,27.33
2016,1,san luis,9.59
2016,1,santa cruz,26.87
2016,1,santa fe,51.28
2016,1,santiago del estero,16.21
2016,1,tierra del fuego,65.83
2016,1,tucumán,36.72
2015,4,buenos aires,58.29
2015,4,capital federal,85.46
2015,4,catamarca,26.24
2015,4,chaco,28.35
2015,4,chubut,36.89
2015,4,córdoba,57.36
2015,4,corrientes,30.34
2015,4,entre ríos,44.11
2015,4,formosa,19.07
2015,4,jujuy,21.47
2015,4,la pampa,58.76
2015,4,la rioja,17.32
2015,4,mendoza,32.49
2015,4,misiones,28.69
2015,4,neuquén,58.29
2015,4,río negro,46.44
2015,4,salta,31.59
2015,4,san juan,27.66
2015,4,san luis,9.71
2015,4,santa cruz,27.74
2015,4,santa fe,52.61
2015,4,santiago del estero,17.0
2015,4,tierra del fuego,66.46
2015,4,tucumán,37.06
2015,3,buenos aires,57.69
2015,3,capital federal,85.62
2015,3,catamarca,25.86
2015,3,chaco,27.96
2015,3,chubut,36.81
2015,3,córdoba,57.08
2015,3,corrientes,30.17
2015,3,entre ríos,43.68
2015,3,formosa,18.84
2015,3,jujuy,21.27
2015,3,la pampa,57.96
2015,3,la rioja,17.15
2015,3,mendoza,32.49
2015,3,misiones,28.31
2015,3,neuquén,54.6
2015,3,río negro,46.39
2015,3,salta,31.18
2015,3,san juan,27.67
2015,3,san luis,9.71
2015,3,santa cruz,27.61
2015,3,santa fe,52.15
2015,3,santiago del estero,17.12
2015,3,tierra del fuego,74.86
2015,3,tucumán,36.61
2015,2,buenos aires,56.8
2015,2,capital federal,83.4
2015,2,catamarca,25.45
2015,2,chaco,27.46
2015,2,chubut,36.58
2015,2,córdoba,55.87
2015,2,corrientes,29.58
2015,2,entre ríos,42.93
2015,2,formosa,18.36
2015,2,jujuy,20.29
2015,2,la pampa,56.71
2015,2,la rioja,16.88
2015,2,mendoza,32.49
2015,2,misiones,27.35
2015,2,neuquén,53.12
2015,2,río negro,45.98
2015,2,salta,30.46
2015,2,san juan,27.64
2015,2,san luis,9.71
2015,2,santa cruz,27.07
2015,2,santa fe,51.18
2015,2,santiago del estero,17.11
2015,2,tierra del fuego,74.51
2015,2,tucumán,35.69
2015,1,buenos aires,56.37
2015,1,capital federal,82.23
2015,1,catamarca,25.11
2015,1,chaco,26.65
2015,1,chubut,37.61
2015,1,córdoba,54.7
2015,1,corrientes,28.95
2015,1,entre ríos,42.07
2015,1,formosa,18.12
2015,1,jujuy,19.69
2015,1,la pampa,55.51
2015,1,la rioja,16.7
2015,1,mendoza,32.37
2015,1,misiones,26.31
2015,1,neuquén,51.95
2015,1,río negro,45.33
2015,1,salta,30.01
2015,1,san juan,27.55
2015,1,san luis,9.72
2015,1,santa cruz,27.99
2015,1,santa fe,50.24
2015,1,santiago del estero,17.06
2015,1,tierra del fuego,74.23
2015,1,tucumán,35.08
2014,4,buenos aires,56.09
2014,4,capital federal,82.23
2014,4,catamarca,25.51
2014,4,chaco,21.87
2014,4,chubut,40.25
2014,4,córdoba,54.7
2014,4,corrientes,23.56
2014,4,entre ríos,36.03
2014,4,formosa,17.96
2014,4,jujuy,19.6
2014,4,la pampa,51.27
2014,4,la rioja,17.01
2014,4,mendoza,32.64
2014,4,misiones,24.16
2014,4,neuquén,52.55
2014,4,río negro,45.48
2014,4,salta,29.53
2014,4,san juan,28.04
2014,4,san luis,9.79
2014,4,santa cruz,27.8
2014,4,santa fe,50.0
2014,4,santiago del estero,17.27
2014,4,tierra del fuego,66.14
2014,4,tucumán,35.32
2014,3,buenos aires,56.75
2014,3,capital federal,81.13
2014,3,catamarca,24.71
2014,3,chaco,21.11
2014,3,chubut,40.6
2014,3,córdoba,54.23
2014,3,corrientes,22.79
2014,3,entre ríos,34.98
2014,3,formosa,17.77
2014,3,jujuy,18.37
2014,3,la pampa,55.78
2014,3,la rioja,16.51
2014,3,mendoza,32.31
2014,3,misiones,23.57
2014,3,neuquén,56.4
2014,3,río negro,46.2
2014,3,salta,29.22
2014,3,san juan,27.85
2014,3,san luis,9.71
2014,3,santa cruz,28.23
2014,3,santa fe,49.2
2014,3,santiago del estero,16.49
2014,3,tierra del fuego,65.69
2014,3,tucumán,33.94
2014,2,buenos aires,55.06
2014,2,capital federal,80.47
2014,2,catamarca,24.7
2014,2,chaco,20.96
2014,2,chubut,41.41
2014,2,córdoba,53.45
2014,2,corrientes,22.58
2014,2,entre ríos,34.69
2014,2,formosa,17.54
2014,2,jujuy,18.71
2014,2,la pampa,49.71
2014,2,la rioja,16.5
2014,2,mendoza,32.1
2014,2,misiones,23.37
2014,2,neuquén,50.84
2014,2,río negro,45.33
2014,2,salta,28.91
2014,2,san juan,27.78
2014,2,san luis,9.72
2014,2,santa cruz,29.38
2014,2,santa fe,48.39
2014,2,santiago del estero,16.7
2014,2,tierra del fuego,64.36
2014,2,tucumán,33.94
2014,1,buenos aires,54.57
2014,1,capital federal,79.58
2014,1,catamarca,24.25
2014,1,chaco,20.72
2014,1,chubut,41.24
2014,1,córdoba,52.52
2014,1,corrientes,22.32
2014,1,entre ríos,34.37
2014,1,formosa,17.42
2014,1,jujuy,18.42
2014,1,la pampa,48.43
2014,1,la rioja,16.29
2014,1,mendoza,31.91
2014,1,misiones,23.14
2014,1,neuquén,49.79
2014,1,río negro,44.91
2014,1,salta,28.7
2014,1,san juan,27.6
2014,1,san luis,9.35
2014,1,santa cruz,28.94
2014,1,santa fe,47.85
2014,1,santiago del estero,16.31
2014,1,tierra del fuego,63.97
2014,1,tucumán,33.42
